DescripcionCIAN,ActividadBMXID,DescripcionBMX
OTROS CULTIVOS,0145020,CULTIVO DE MAGUEY
OTROS CULTIVOS,0145012,CULTIVO DE AGAVE O MEZCAL
OTROS CULTIVOS,0144030,CULTIVO DE OTRAS FIBRAS DURAS
OTROS CULTIVOS,0144022,CULTIVO DE LINO
OTROS CULTIVOS,0144014,CULTIVO DE HENEQUEN
OTROS CULTIVOS,0129016,CULTIVO DE ESPECIAS
OTROS CULTIVOS,0124058,CULTIVO DE OLIVO
OTROS CULTIVOS,0112160,CULTIVO DE YUCA
OTROS CULTIVOS,0112110,CULTIVO DE NOPAL
OTROS CULTIVOS,0112095,CULTIVO DE JITOMATE
OTROS CULTIVOS,0112053,CULTIVO DE CHILE
OTROS CULTIVOS,0111071,CULTIVO DE MILO
EXPLOTACION DE BOVINOS PARA CARNE,0211011,CRIA Y EXPLOTACION DE GANADO VACUNO PARA CARNE
EXPLOTACION DE BOVINOS PARA LECHE,0212019,CRIA Y EXPLOTACION DE GANADO VACUNO PARA LECHE
EXPLOTACION DE BOVINOS SIN ESPECIALIZACION,,
EXPLOTACION DE PORCINOS,0221010,CRIA Y EXPLOTACION DE GANADO PORCINO
EXPLOTACION DE GALLINAS PONEDORAS,0231019,CRIA Y EXPLOTACION DE GALLINA PARA PRODUCCION DE HUEVO
EXPLOTACION DE POLLOS PARA CARNE,0232017,CRIA Y EXPLOTACION DE POLLOS
EXPLOTACION DE GUAJOLOTES O PAVOS,,
PRODUCCION DE AVES DE CORRAL EN INCUBADORA,,
EXPLOTACION DE OTRAS AVES PRODUCTORAS DE CARNE Y HUEVO,6121016170,COMPRA VENTA DE AVES EN PIE
EXPLOTACION DE OTRAS AVES PRODUCTORAS DE CARNE Y HUEVO,0233015,CRIA Y EXPLOTACION DE OTRAS AVES PARA ALIMENTACION
EXPLOTACION DE OVINOS Y EXPLOTACION CONJUNTA DE OVINOS CON CAPRINOS,0222018,CRIA Y EXPLOTACION DE GANADO OVINO
EXPLOTACION DE CAPRINOS,0223016,CRIA Y EXPLOTACION DE GANADO CAPRINO
ACUICULTURA ANIMAL,459025030,CRIA Y EXPLOTACION DE PECES
ACUICULTURA ANIMAL,0459017,CRIA Y EXPLOTACION DE OSTRAS
ACUICULTURA ANIMAL,0442012,RECOLECCION DE ALGAS Y OTRAS PLANTAS ACUATICAS
